UDI,Product_ID,Type,Air_temperature_K,Process_temperature_K,Rotational_speed_rpm,Torque_Nm,Tool_wear_min,Machine_failure,TWF,HDF,PWF,OSF,RNF,temp_diff,power_W,wear_torque,temp_per_rpm,high_wear,product_type_enc
17,M14876,M,298.6,309.2,1311,46.6,44,0,0,0,0,0,0,10.599999999999966,6397.602111623327,2050.4,0.23567073170731706,0,1
18,M14877,M,298.7,309.2,1410,45.6,47,0,0,0,0,0,0,10.5,6733.0613751736455,2143.2000000000003,0.21913536498936922,0,1
19,H29432,H,298.8,309.2,1306,54.5,50,0,0,0,0,0,0,10.399999999999977,7453.6380101520235,2725.0,0.23657230298393267,0,2
20,M14879,M,298.9,309.3,1632,32.5,55,0,0,0,0,0,0,10.400000000000034,5554.3358115467545,1787.5,0.18940600122473975,0,1
21,H29434,H,298.9,309.3,1375,42.7,58,0,0,0,0,0,0,10.400000000000034,6148.3586224630235,2476.6000000000004,0.22478197674418607,0,2
22,L47201,L,298.8,309.3,1450,44.8,63,0,0,0,0,0,0,10.5,6802.595292573099,2822.3999999999996,0.21316333563059958,0,0
23,M14882,M,298.9,309.3,1581,30.7,65,0,0,0,0,0,0,10.400000000000034,5082.7513383163905,1995.5,0.19551201011378003,0,1
24,L47203,L,299.0,309.4,1758,25.7,68,0,0,0,0,0,0,10.399999999999977,4731.3013681593,1747.6,0.17589539511085842,0,0
25,M14884,M,299.0,309.4,1561,37.3,70,0,0,0,0,0,0,10.399999999999977,6097.339157768725,2611.0,0.19807938540332906,0,1
26,L47205,L,299.0,309.5,1861,23.3,73,0,0,0,0,0,0,10.5,4540.784717670103,1700.9,0.166219119226638,0,0
27,L47206,L,299.1,309.5,1512,39.0,75,0,0,0,0,0,0,10.399999999999977,6175.114519896098,2925.0,0.20456047587574355,0,0
28,H29441,H,299.1,309.4,1811,24.6,77,0,0,0,0,0,0,10.299999999999955,4665.327922433915,1894.2,0.1707505518763797,0,2
29,L47208,L,299.1,309.4,1439,44.2,82,0,0,0,0,0,0,10.299999999999955,6660.574360679816,3624.4,0.21486111111111109,0,0
30,L47209,L,299.0,309.4,1693,30.1,84,0,0,0,0,0,0,10.399999999999977,5336.445417069278,2528.4,0.18264462809917353,0,0
31,M14890,M,299.1,309.5,1339,48.2,86,0,0,0,0,0,0,10.399999999999977,6758.592051471818,4145.2,0.23097014925373135,0,1
32,L47211,L,299.0,309.4,1798,25.5,89,0,0,0,0,0,0,10.399999999999977,4801.296052481282,2269.5,0.17198443579766537,0,0
33,L47212,L,299.0,309.4,1419,48.3,91,0,0,0,0,0,0,10.399999999999977,7177.251160464705,4395.3,0.21788732394366195,0,0
34,L47213,L,298.9,309.3,1665,32.5,93,0,0,0,0,0,0,10.400000000000034,5666.647748912589,3022.5,0.18565426170468188,0,0
35,M14894,M,298.8,309.1,1559,34.7,95,0,0,0,0,0,0,10.300000000000011,5665.056008634771,3296.5000000000005,0.19814102564102565,0,1
36,M14895,M,298.8,309.2,1452,48.6,98,0,0,0,0,0,0,10.399999999999977,7389.7799034800555,4762.8,0.21280110116999312,0,1
37,M14896,M,298.9,309.2,1581,36.7,101,0,0,0,0,0,0,10.300000000000011,6076.122935381484,3706.7000000000003,0.195448798988622,0,1
38,L47217,L,298.8,309.1,1439,39.2,104,0,0,0,0,0,0,10.300000000000011,5907.115722593864,4076.8,0.2146527777777778,0,0
39,H29452,H,298.9,309.2,1379,50.7,106,0,0,0,0,0,0,10.300000000000011,7321.51309511755,5374.200000000001,0.22405797101449274,0,2
40,L47219,L,298.8,309.1,1350,52.5,111,0,0,0,0,0,0,10.300000000000011,7422.0126441058865,5827.5,0.2287934863064397,0,0
41,L47220,L,298.8,309.1,1362,45.4,113,0,0,0,0,0,0,10.300000000000011,6475.325113873137,5130.2,0.22677916360968453,0,0
42,L47221,L,298.8,309.1,1368,50.8,115,0,0,0,0,0,0,10.300000000000011,7277.436550187683,5842.0,0.22578524470416364,0,0
43,M14902,M,298.8,309.1,1368,49.1,117,0,0,0,0,0,0,10.300000000000011,7033.900287681403,5744.7,0.22578524470416364,0,1
44,H29457,H,298.8,309.2,1372,48.5,120,0,0,0,0,0,0,10.399999999999977,6968.261945172401,5820.0,0.22520029133284777,0,2
45,M14904,M,298.8,309.1,1472,47.5,125,0,0,0,0,0,0,10.300000000000011,7322.00527796661,5937.5,0.2098438560760353,0,1
46,L47225,L,298.8,309.1,1489,49.1,128,0,0,0,0,0,0,10.300000000000011,7656.050824822813,6284.8,0.20744966442953022,0,0
47,M14906,M,298.7,309.0,1843,25.8,130,0,0,0,0,0,0,10.300000000000011,4979.36152408675,3354.0,0.1675704989154013,0,1
48,L47227,L,298.8,309.1,1418,46.3,133,0,0,0,0,0,0,10.300000000000011,6875.207970773071,6157.9,0.2178294573643411,0,0
49,H29462,H,298.8,309.2,1425,53.9,135,0,0,0,0,0,0,10.399999999999977,8043.2625913532665,7276.5,0.21683029453015426,0,2
50,M14909,M,298.9,309.2,1412,44.1,140,0,0,0,0,0,0,10.300000000000011,6520.815375497119,6174.0,0.21882519462137295,0,1
51,L47230,L,298.9,309.1,2861,4.6,143,1,0,0,1,0,0,10.200000000000045,1378.1748092277942,657.8,0.10800139762403914,0,0
52,L47231,L,298.9,309.1,1383,54.9,145,0,0,0,0,0,0,10.200000000000045,7951.025431043872,7960.5,0.22333815028901735,0,0
53,H29466,H,298.8,309.0,1497,43.8,147,0,0,0,0,0,0,10.199999999999989,6866.327735538923,6438.599999999999,0.20627503337783712,0,2
54,L47233,L,298.7,309.0,1565,35.1,152,0,0,0,0,0,0,10.300000000000011,5752.41322835559,5335.2,0.19731800766283525,0,0
55,L47234,L,298.7,309.0,1691,30.1,154,0,0,0,0,0,0,10.300000000000011,5330.141287811076,4635.400000000001,0.18262411347517732,0,0
56,L47235,L,298.8,309.1,1512,40.7,156,0,0,0,0,0,0,10.300000000000011,6444.286178455672,6349.200000000001,0.20429610046265698,0,0
57,L47236,L,298.8,309.1,1477,42.4,158,0,0,0,0,0,0,10.300000000000011,6558.053720417668,6699.2,0.20913396481732072,0,0
58,L47237,L,298.8,309.1,1513,40.3,160,0,0,0,0,0,0,10.300000000000011,6385.171876690622,6448.0,0.20416116248348745,0,0
59,M14918,M,298.8,309.0,1661,29.5,162,0,0,0,0,0,0,10.199999999999989,5131.215640985769,4779.0,0.18592057761732853,0,1
60,L47239,L,298.8,309.1,1378,54.4,165,0,0,0,0,0,0,10.300000000000011,7850.127946986078,8976.0,0.22414793328498914,0,0
61,L47240,L,298.8,309.1,1393,52.6,167,0,0,0,0,0,0,10.300000000000011,7673.004953176688,8784.2,0.22173601147776184,0,0
62,M14921,M,298.8,309.0,1592,38.2,169,0,0,0,0,0,0,10.199999999999989,6368.469075749038,6455.8,0.19397363465160075,0,1
63,L47242,L,298.8,309.0,1829,22.9,172,0,0,0,0,0,0,10.199999999999989,4386.092695407342,3938.7999999999997,0.16885245901639345,0,0
64,M14923,M,298.9,309.0,1812,25.9,174,0,0,0,0,0,0,10.100000000000023,4914.581883569729,4506.599999999999,0.1704357418643133,0,1
65,L47244,L,299.0,309.1,1523,38.6,177,0,0,0,0,0,0,10.100000000000023,6156.244020023535,6832.2,0.2028215223097113,0,0
66,L47245,L,299.0,309.1,1394,45.1,179,0,0,0,0,0,0,10.100000000000023,6583.668172519938,8072.900000000001,0.22157706093189966,0,0
67,M14926,M,298.9,308.9,1679,28.7,181,0,0,0,0,0,0,10.0,5046.162255877581,5194.7,0.1838690476190476,0,1
68,H29481,H,298.8,308.9,1466,44.1,184,0,0,0,0,0,0,10.099999999999966,6770.195000339076,8114.400000000001,0.21056578050443078,0,2
69,L47248,L,298.8,308.9,1527,32.4,189,0,0,0,0,0,0,10.099999999999966,5180.988940594142,6123.599999999999,0.20215968586387434,0,0
70,L47249,L,298.9,309.0,1410,65.7,191,1,0,0,1,1,0,10.100000000000023,9700.923955019924,12548.7,0.21899362154500354,0,0
71,M14930,M,298.9,309.0,1924,22.6,193,0,0,0,0,0,0,10.100000000000023,4553.4662800150945,4361.8,0.1605194805194805,0,1
72,L47251,L,298.9,309.1,1452,45.5,196,0,0,0,0,0,0,10.200000000000045,6918.415341735443,8918.0,0.21273227804542327,0,0
73,L47252,L,298.9,309.1,1369,44.4,198,0,0,0,0,0,0,10.200000000000045,6365.243707291352,8791.199999999999,0.2256204379562044,0,0
74,L47253,L,299.0,309.1,1592,35.0,200,0,0,0,0,0,0,10.100000000000023,5834.984755267443,7000.0,0.19403640929064658,0,0
75,L47254,L,298.9,309.0,1601,32.3,202,0,0,0,0,0,0,10.100000000000023,5415.299392674381,6524.599999999999,0.19288389513108614,1,0
76,L47255,L,298.8,308.9,1379,46.7,204,0,0,0,0,0,0,10.099999999999966,6743.878925877506,9526.800000000001,0.2238405797101449,1,0
77,L47256,L,298.8,308.9,1461,47.9,206,0,0,0,0,0,0,10.099999999999966,7328.487430808518,9867.4,0.2112859097127223,1,0
78,L47257,L,298.8,308.9,1455,41.3,208,1,1,0,0,0,0,10.099999999999966,6292.767164773035,8590.4,0.2121565934065934,1,0
79,L47258,L,298.8,308.9,1398,51.5,0,0,0,0,0,0,0,10.099999999999966,7539.508209350145,0.0,0.22080057183702642,0,0
80,L47259,L,298.8,308.9,1402,37.9,2,0,0,0,0,0,0,10.099999999999966,5564.367964087218,75.8,0.2201710620099786,0,0
81,H29494,H,298.8,308.8,1445,49.9,4,0,0,0,0,0,0,10.0,7550.870302780627,199.6,0.21355463347164594,0,2
82,L47261,L,298.9,308.9,1450,47.5,9,0,0,0,0,0,0,10.0,7212.573133866567,427.5,0.21288766368022052,0,0
83,L47262,L,298.9,308.9,1453,40.8,11,0,0,0,0,0,0,10.0,6208.038410905718,448.79999999999995,0.2124484181568088,0,0
84,L47263,L,299.0,309.0,1469,40.1,13,0,0,0,0,0,0,10.0,6168.716142858287,521.3000000000001,0.21020408163265306,0,0
85,L47264,L,298.9,308.9,1422,47.6,15,0,0,0,0,0,0,10.0,7088.187008735435,714.0,0.21707659873506674,0,0
86,M14945,M,299.0,309.0,1804,26.8,17,0,0,0,0,0,0,10.0,5062.906944721215,455.6,0.17119113573407202,0,1
87,H29500,H,299.0,309.0,1436,43.9,20,0,0,0,0,0,0,10.0,6601.575250645399,878.0,0.2150313152400835,0,2
88,L47267,L,299.0,309.0,1544,31.8,25,0,0,0,0,0,0,10.0,5141.656200571199,795.0,0.2,0,0
89,M14948,M,299.0,309.0,1419,45.2,27,0,0,0,0,0,0,10.0,6716.599429668835,1220.4,0.2176056338028169,0,1
90,M14949,M,298.9,308.9,1487,39.5,30,0,0,0,0,0,0,10.0,6150.871896585897,1185.0,0.20759408602150536,0,1
91,L47270,L,298.9,308.9,1753,25.8,33,0,0,0,0,0,0,10.0,4736.2022526989,851.4,0.17611174458380843,0,0
92,L47271,L,298.9,308.9,1830,24.9,35,0,0,0,0,0,0,10.0,4771.765081537536,871.5,0.1687056253413435,0,0
93,M14952,M,298.9,308.9,1727,27.1,37,0,0,0,0,0,0,10.0,4901.062563183781,1002.7,0.17876157407407406,0,1
94,L47273,L,299.1,309.0,1450,43.0,40,0,0,0,0,0,0,9.899999999999977,6529.276731710787,1720.0,0.2129565816678153,0,0
95,L47274,L,299.0,308.9,1622,31.9,42,0,0,0,0,0,0,9.899999999999977,5418.388625450411,1339.8,0.19032655576093652,0,0
96,M14955,M,299.0,309.0,1351,52.2,44,0,0,0,0,0,0,10.0,7385.06751449967,2296.8,0.22855029585798817,0,1
97,M14956,M,299.0,309.0,1575,35.3,47,0,0,0,0,0,0,10.0,5822.156585265284,1659.1,0.19606598984771573,0,1
98,M14957,M,298.9,308.9,1750,29.9,50,0,0,0,0,0,0,10.0,5479.4611866361965,1495.0,0.17641347801256424,0,1
99,L47278,L,298.9,308.8,1529,32.7,53,0,0,0,0,0,0,9.900000000000034,5235.809732399286,1733.1000000000001,0.20183006535947715,0,0
100,L47279,L,298.8,308.8,1523,44.4,55,0,0,0,0,0,0,10.0,7081.275504897538,2442.0,0.2026246719160105,0,0
101,L47280,L,298.8,308.9,1852,25.0,57,0,0,0,0,0,0,10.099999999999966,4848.524662040247,1425.0,0.16670264436049648,0,0
102,L47281,L,298.8,308.8,1991,20.7,59,0,0,0,0,0,0,10.0,4315.888571575122,1221.3,0.15502008032128514,0,0
103,L47282,L,298.8,308.8,1555,40.6,61,0,0,0,0,0,0,10.0,6611.272299969481,2476.6,0.19845758354755785,0,0
104,M14963,M,298.8,308.8,1441,40.5,63,0,0,0,0,0,0,10.0,6111.497268660904,2551.5,0.2141470180305132,0,1
105,L47284,L,298.8,308.7,1450,43.4,66,0,0,0,0,0,0,9.899999999999977,6590.01418968019,2864.4,0.212749827705031,0,0
106,L47285,L,298.8,308.7,1591,31.1,68,0,0,0,0,0,0,9.899999999999977,5181.543955296277,2114.8,0.1939070351758794,0,0
107,L47286,L,298.8,308.7,1445,48.5,70,0,0,0,0,0,0,9.899999999999977,7339.022238173556,3395.0,0.21348547717842323,0,0
108,M14967,M,298.8,308.8,1497,46.8,72,0,0,0,0,0,0,10.0,7336.624155781315,3369.6,0.2061415220293725,0,1
109,H29522,H,298.9,308.8,1621,32.7,75,0,0,0,0,0,0,9.900000000000034,5550.848643701271,2452.5,0.19038224414303329,0,2
110,L47289,L,298.9,308.7,1572,34.1,80,0,0,0,0,0,0,9.800000000000011,5613.523417140386,2728.0,0.19624920534011442,0,0
111,L47290,L,298.8,308.6,1872,22.5,82,0,0,0,0,0,0,9.800000000000011,4410.79608564007,1845.0,0.1647624132407902,0,0
112,H29525,H,298.7,308.6,1499,43.5,84,0,0,0,0,0,0,9.900000000000034,6828.408712210095,3654.0,0.20573333333333335,0,2
113,M14972,M,298.8,308.7,1498,39.5,89,0,0,0,0,0,0,9.899999999999977,6196.3726301853885,3515.5,0.2059372915276851,0,1
114,M14973,M,298.8,308.6,1486,41.9,92,0,0,0,0,0,0,9.800000000000011,6520.208000917424,3854.7999999999997,0.2075319435104237,0,1
115,L47294,L,298.8,308.6,1680,29.4,95,0,0,0,0,0,0,9.800000000000011,5172.318144870235,2793.0,0.1835812016656752,0,0
116,L47295,L,298.8,308.6,1431,45.7,97,0,0,0,0,0,0,9.800000000000011,6848.326409633855,4432.900000000001,0.2155027932960894,0,0
117,L47296,L,298.9,308.7,1564,34.1,99,0,0,0,0,0,0,9.800000000000011,5584.955867943743,3375.9,0.1972523961661342,0,0
118,L47297,L,298.8,308.6,1599,33.0,101,0,0,0,0,0,0,9.800000000000011,5525.747318399087,3333.0,0.19287500000000002,0,0
119,M14978,M,298.8,308.6,1707,28.1,103,0,0,0,0,0,0,9.800000000000011,5023.0610778981845,2894.3,0.18067915690866512,0,1
120,L47299,L,298.7,308.5,1467,40.7,106,0,0,0,0,0,0,9.800000000000011,6252.491946954015,4314.200000000001,0.210149863760218,0,0
121,L47300,L,298.9,308.7,1433,44.7,108,0,0,0,0,0,0,9.800000000000011,6707.834386165318,4827.6,0.21527196652719666,0,0
122,L47301,L,298.9,308.7,1558,41.2,110,0,0,0,0,0,0,9.800000000000011,6721.919193228914,4532.0,0.1980115458627325,0,0
123,L47302,L,299.0,308.8,1310,50.7,112,0,0,0,0,0,0,9.800000000000011,6955.171975782444,5678.400000000001,0.23554538520213578,0,0
124,L47303,L,298.9,308.7,1546,43.4,114,0,0,0,0,0,0,9.800000000000011,7026.318577410739,4947.599999999999,0.19954751131221718,0,0
125,L47304,L,298.9,308.7,1727,29.4,116,0,0,0,0,0,0,9.800000000000011,5317.019902494581,3410.3999999999996,0.17864583333333334,0,0
126,L47305,L,298.9,308.6,1560,32.2,118,0,0,0,0,0,0,9.700000000000045,5260.28273917075,3799.6000000000004,0.19769378603459323,0,0
127,L47306,L,299.0,308.6,1329,60.5,120,0,0,0,0,0,0,9.600000000000023,8419.939550518684,7260.0,0.23203007518796995,0,0
128,L47307,L,298.9,308.6,1413,46.5,122,0,0,0,0,0,0,9.700000000000045,6880.559150259685,5673.0,0.21824611032531827,0,0
129,L47308,L,299.0,308.6,1587,38.6,124,0,0,0,0,0,0,9.600000000000023,6414.9437030711415,4786.400000000001,0.1943324937027708,0,0
130,L47309,L,298.9,308.5,1559,34.3,126,0,0,0,0,0,0,9.600000000000023,5599.75276934215,4321.799999999999,0.19775641025641025,0,0
131,L47310,L,298.8,308.4,1473,41.1,128,0,0,0,0,0,0,9.599999999999966,6339.765390870739,5260.8,0.20922659430122115,0,0
132,L47311,L,298.8,308.4,1737,27.7,130,0,0,0,0,0,0,9.599999999999966,5038.580545606917,3601.0,0.1774453394706559,0,0
133,M14992,M,298.7,308.4,1441,43.2,132,0,0,0,0,0,0,9.699999999999989,6518.930419904966,5702.400000000001,0.21386962552011093,0,1
134,M14993,M,298.7,308.4,1430,49.6,135,0,0,0,0,0,0,9.699999999999989,7427.5627911272295,6696.0,0.21551362683438152,0,1
135,L47314,L,298.8,308.4,1369,53.0,138,0,0,0,0,0,0,9.599999999999966,7598.151272217154,7314.0,0.22510948905109487,0,0
136,M14995,M,298.8,308.5,1711,28.5,140,0,0,0,0,0,0,9.699999999999989,5106.501778777529,3990.0,0.18019859813084113,0,1
137,H29550,H,298.7,308.5,1420,45.7,143,0,0,0,0,0,0,9.800000000000011,6795.683788735201,6535.1,0.217100633356791,0,2
138,L47317,L,298.7,308.6,1297,55.3,148,0,0,0,0,0,0,9.900000000000034,7510.93018817799,8184.4,0.23775038520801234,0,0
139,H29552,H,298.8,308.6,1449,49.4,150,0,0,0,0,0,0,9.800000000000011,7495.902903318319,7410.0,0.21282758620689657,0,2
140,L47319,L,298.8,308.6,1268,55.8,155,0,0,0,0,0,0,9.800000000000011,7409.383441638455,8649.0,0.24318360914105597,0,0
141,L47320,L,298.8,308.6,1511,36.1,157,0,0,0,0,0,0,9.800000000000011,5712.158954487593,5667.7,0.20410052910052912,0,0
142,L47321,L,298.7,308.5,1544,35.2,159,0,0,0,0,0,0,9.800000000000011,5691.393027047366,5596.8,0.19967637540453073,0,0
143,M15002,M,298.6,308.4,1778,28.2,161,0,0,0,0,0,0,9.799999999999955,5250.606633797693,4540.2,0.1733558178752108,0,1
144,H29557,H,298.6,308.4,1407,50.5,164,0,0,0,0,0,0,9.799999999999955,7440.705120394745,8282.0,0.2190340909090909,0,2
145,M15004,M,298.6,308.4,1391,42.4,169,0,0,0,0,0,0,9.799999999999955,6176.203605349342,7165.599999999999,0.221551724137931,0,1
146,L47325,L,298.5,308.4,1513,33.6,172,0,0,0,0,0,0,9.899999999999977,5323.61724706712,5779.2,0.20369881109643329,0,0
147,H29560,H,298.5,308.4,1612,36.1,174,0,0,0,0,0,0,9.899999999999977,6093.977653629385,6281.400000000001,0.1911965282083075,0,2
148,L47327,L,298.4,308.4,1515,40.1,179,0,0,0,0,0,0,10.0,6361.882203152011,7177.900000000001,0.20343007915567282,0,0
149,M15008,M,298.3,308.3,1379,48.0,181,0,0,0,0,0,0,10.0,6931.61003088052,8688.0,0.22340579710144928,0,1
150,L47329,L,298.4,308.3,1473,39.9,184,0,0,0,0,0,0,9.900000000000034,6154.662751721228,7341.599999999999,0.20915875169606513,0,0
151,L47330,L,298.4,308.3,1422,42.7,186,0,0,0,0,0,0,9.900000000000034,6358.52069901267,7942.200000000001,0.21665495432185525,0,0
152,M15011,M,298.4,308.2,1463,37.6,188,0,0,0,0,0,0,9.800000000000011,5760.508065426342,7068.8,0.2105191256830601,0,1
153,M15012,M,298.4,308.2,1584,41.0,191,0,0,0,0,0,0,9.800000000000011,6800.919776491184,7831.0,0.19444794952681388,0,1
154,L47333,L,298.4,308.2,1850,27.0,194,0,0,0,0,0,0,9.800000000000011,5230.751768227006,5238.0,0.16650459211237167,0,0
155,L47334,L,298.4,308.2,1528,36.2,196,0,0,0,0,0,0,9.800000000000011,5792.426646786813,7095.200000000001,0.2015696533682145,0,0
156,H29569,H,298.4,308.2,1987,19.8,198,0,0,0,0,0,0,9.800000000000011,4119.9474377707265,3920.4,0.15503018108651911,0,2
157,M15016,M,298.4,308.1,1495,46.0,203,0,0,0,0,0,0,9.700000000000045,7201.577559579002,9338.0,0.20594919786096258,1,1
158,H29571,H,298.4,308.2,1478,43.5,206,0,0,0,0,0,0,9.800000000000011,6732.747215908285,8961.0,0.2083840432724814,1,2
159,M15018,M,298.4,308.2,1499,40.0,211,0,0,0,0,0,0,9.800000000000011,6278.996516974799,8440.0,0.20546666666666666,1,1
160,L47339,L,298.4,308.2,1471,47.0,214,0,0,0,0,0,0,9.800000000000011,7240.009709707918,10058.0,0.209375,1,0
161,L47340,L,298.4,308.2,1282,60.7,216,1,0,0,0,1,0,9.800000000000011,8149.019072048613,13111.2,0.2402182385035074,1,0
162,L47341,L,298.3,308.1,1412,52.3,218,1,0,0,0,1,0,9.800000000000011,7733.302588174587,11401.4,0.21804670912951168,1,0
163,L47342,L,298.3,308.1,1586,35.5,0,0,0,0,0,0,0,9.800000000000011,5896.036372502204,0.0,0.1941398865784499,0,0
164,M15023,M,298.4,308.2,1468,43.8,2,0,0,0,0,0,0,9.800000000000011,6733.312702585932,87.6,0.20980258679373723,0,1
165,M15024,M,298.5,308.3,1440,43.6,5,0,0,0,0,0,0,9.800000000000011,6574.725105432719,218.0,0.21394864677307426,0,1
166,L47345,L,298.5,308.4,1733,26.0,8,0,0,0,0,0,0,9.899999999999977,4718.4627261816295,208.0,0.1778546712802768,0,0
167,H29580,H,298.4,308.2,1612,32.6,10,0,0,0,0,0,0,9.800000000000011,5503.148795244264,326.0,0.1910725356478611,0,2
168,H29581,H,298.4,308.3,1458,42.9,15,0,0,0,0,0,0,9.900000000000034,6550.032187175502,643.5,0.21130911583276218,0,2
169,L47348,L,298.4,308.3,1433,62.3,20,1,0,0,1,0,0,9.900000000000034,9348.950386087232,1246.0,0.21499302649930266,0,0
170,L47349,L,298.4,308.3,1318,59.1,22,0,0,0,0,0,0,9.900000000000034,8157.019661339754,1300.2,0.23373768006065201,0,0
171,M15030,M,298.4,308.2,1610,35.0,24,0,0,0,0,0,0,9.800000000000011,5900.958200992827,840.0,0.19130974549968963,0,1
172,L47351,L,298.2,308.1,1462,50.8,27,0,0,0,0,0,0,9.900000000000034,7777.494324835084,1371.6,0.21059466848940533,0,0
173,M15032,M,298.1,308.0,1924,20.8,29,0,0,0,0,0,0,9.899999999999977,4190.800824084688,603.2,0.16,0,1
174,M15033,M,298.2,308.0,1591,33.7,32,0,0,0,0,0,0,9.800000000000011,5614.727694324262,1078.4,0.1934673366834171,0,1
175,L47354,L,298.2,308.1,1306,58.3,35,0,0,0,0,0,0,9.900000000000034,7973.341210859871,2040.5,0.2357306809487376,0,0
176,L47355,L,298.2,308.1,1382,43.5,37,0,0,0,0,0,0,9.900000000000034,6295.437518528586,1609.5,0.22277657266811282,0,0
177,L47356,L,298.2,308.1,1618,34.7,39,0,0,0,0,0,0,9.900000000000034,5879.4487632912505,1353.3000000000002,0.19030265596046944,0,0
178,L47357,L,298.2,308.2,1988,21.4,41,0,0,0,0,0,0,10.0,4455.1134860067095,877.4,0.1549522373051785,0,0
179,L47358,L,298.2,308.2,1436,50.2,43,0,0,0,0,0,0,10.0,7548.953931261938,2158.6,0.21447459986082115,0,0
180,L47359,L,298.2,308.3,1304,49.8,45,0,0,0,0,0,0,10.100000000000023,6800.41712166661,2241.0,0.23624521072796936,0,0
181,L47360,L,298.2,308.3,1475,49.9,47,0,0,0,0,0,0,10.100000000000023,7707.635776194758,2345.2999999999997,0.20887533875338754,0,0
182,H29595,H,298.2,308.3,1824,24.2,49,0,0,0,0,0,0,10.100000000000023,4622.413766785878,1185.8,0.16893150684931507,0,2
183,M15042,M,298.1,308.2,1342,48.1,54,0,0,0,0,0,0,10.099999999999966,6759.681136925063,2597.4,0.2294862248696947,0,1
184,L47363,L,298.1,308.2,1485,40.7,57,0,0,0,0,0,0,10.099999999999966,6329.209639554678,2319.9,0.20740242261103634,0,0
185,L47364,L,298.2,308.2,1667,30.6,59,0,0,0,0,0,0,10.0,5341.775652604869,1805.4,0.18477218225419664,0,0
186,L47365,L,298.2,308.2,1446,38.2,61,0,0,0,0,0,0,10.0,5784.426057495672,2330.2000000000003,0.21299239806496198,0,0
187,L47366,L,298.1,308.3,1301,56.0,63,0,0,0,0,0,0,10.199999999999989,7629.462478997933,3528.0,0.23678955453149003,0,0
188,L47367,L,298.2,308.4,1379,43.1,65,0,0,0,0,0,0,10.199999999999989,6224.008173561467,2801.5,0.2234782608695652,0,0
189,L47368,L,298.3,308.5,1606,33.6,67,0,0,0,0,0,0,10.199999999999989,5650.845537865033,2251.2000000000003,0.19197261978842564,0,0
190,M15049,M,298.3,308.4,1539,43.4,69,0,0,0,0,0,0,10.099999999999966,6994.504715805388,2994.6,0.20025974025974025,0,1
191,L47370,L,298.2,308.4,1477,49.9,72,0,0,0,0,0,0,10.199999999999989,7718.086807755699,3592.7999999999997,0.20866035182679296,0,0
192,L47371,L,298.2,308.4,1666,34.6,74,0,0,0,0,0,0,10.199999999999989,6036.423676215621,2560.4,0.18500299940011997,0,0
193,H29606,H,298.2,308.4,1398,51.8,76,0,0,0,0,0,0,10.199999999999989,7583.42767464733,3936.7999999999997,0.22044317369549676,0,2
194,H29607,H,298.2,308.4,1678,34.6,81,0,0,0,0,0,0,10.199999999999989,6079.903318541303,2802.6,0.18368076235854675,0,2
